ID,Name,Host ID,Host Name,Host Since,Host Location,Host Response Time,Host Response Rate,Host Neighbourhood,Host Listings Count,Host Total Listings Count,Neighbourhood Cleansed,City,State,Zipcode,Country Code,Country,Latitude,Longitude,Property Type,Room Type,Accommodates,Bathrooms,Bedrooms,Beds,Bed Type,Price,Weekly Price,Monthly Price,Security Deposit,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Availability 30,Availability 60,Availability 90,Availability 365,Number of Reviews,First Review,Last Review,Review Scores Rating,Review Scores Accuracy,Review Scores Cleanliness,Review Scores Checkin,Review Scores Communication,Review Scores Location,Review Scores Value,License,Cancellation Policy,Calculated host listings count,Reviews per Month,Geolocation,Features
14186801,French Charm + Breakfast in New Marigny,36157479,JoAnna,18-06-2015,"New Orleans, Louisiana, United States",within an hour,100,St. Claude/St. Roch,2,2,St. Roch,New Orleans,LA,70117,US,United States,29.97173432,-90.05096233,House,Entire home/apt,6,1,2,3,Real Bed,79,,,500,,2,10,2,1125,10,12,17,37,74,04-09-2016,27-05-2017,96,10,10,10,10,8,10,17STR-04951,strict,1,8.16,"29.9717343214, -90.0509623317","Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License,Instant Bookable"
18270632,Budget Private Room. Streetcar to French Quarter!,25962008,Lauren,11-01-2015,"New Orleans, Louisiana, United States",within an hour,100,Tulane/Gravier,2,2,Tulane - Gravier,New Orleans,LA,70119,US,United States,29.96465353,-90.08372022,Apartment,Private room,2,1,1,2,Real Bed,30,,,100,10,1,0,1,365,0,0,0,0,6,23-04-2017,14-05-2017,100,9,9,10,10,10,10,City registration pending,strict,2,4.39,"29.9646535317, -90.0837202176","Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License"
12465288,Port Street Paradise--Private Room,5290014,Richard,02-03-2013,"New Orleans, Louisiana, United States",within a day,100,St. Claude/St. Roch,1,1,St. Claude,New Orleans,LA,70117,US,United States,29.96951935,-90.04809428,House,Private room,2,1,1,1,Real Bed,70,,,95,,1,0,2,7,25,46,76,76,12,20-05-2016,01-05-2017,95,10,9,10,10,10,9,,strict,1,0.95,"29.9695193528, -90.0480942847","Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License"
9839888,Carrollton Craftsman Getaway,50113611,Miranda&Zach,29-11-2015,"New Orleans, Louisiana, United States",within an hour,100,Fontainebleau,1,1,Marlyville - Fontainbleau,New Orleans,LA,70125,US,United States,29.95932339,-90.11614473,Apartment,Entire home/apt,2,1,1,1,Real Bed,64,,,170,50,1,0,2,1125,0,0,0,0,75,02-01-2016,12-05-2017,97,10,10,10,10,9,10,17STR-10630,strict,1,4.34,"29.9593233911, -90.1161447273","Host Is Superhost,Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License,Instant Bookable"
16015720,Spacious Private Suite in 1850s Victorian Gem,6369409,Margaret,18-02-2016,"Austin, Texas, United States",within an hour,100,Cherry Creek,3,3,Touro,New Orleans,LA,70115,US,United States,29.924397,-90.09629195,House,Entire home/apt,2,1,1,2,Real Bed,85,,,200,40,2,50,2,1125,27,57,87,177,14,26-11-2016,08-05-2017,96,10,10,10,10,10,9,City registration pending,strict,2,2.22,"29.9243970039, -90.0962919455","Host Is Superhost,Host Has Profile Pic,Is Location Exact,Requires License"
74498,Maison Marais 1: Large Local Living,391462,Georgia,14-02-2011,"New Orleans, Louisiana, United States",within an hour,100,St. Claude/St. Roch,3,3,St. Roch,New Orleans,LA,70117,US,United States,29.97052814,-90.05332187,House,Entire home/apt,2,1,1,1,Real Bed,115,,3000,250,,2,30,3,1125,7,34,56,308,341,15-03-2011,21-05-2017,97,10,10,10,10,9,10,17STR-06194,strict,3,4.5,"29.9705281355, -90.0533218689","Host Is Superhost,Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License,Require Guest Profile Picture,Require Guest Phone Verification"
6424040,Country Living blocks from Bywater,23196811,Zachary,31-10-2014,"New Orleans, Louisiana, United States",within an hour,100,St. Claude/St. Roch,3,3,St. Claude,New Orleans,LA,70117,US,United States,29.96787158,-90.03286117,House,Entire home/apt,12,2,4,6,Real Bed,400,,,,150,1,0,1,1125,29,59,89,364,10,10-08-2015,06-03-2017,91,9,9,10,10,8,9,,strict,3,0.45,"29.9678715848, -90.0328611689","Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License"
16739443,Clean place & close to all the fun!,55476496,Ji,20-01-2016,"New Orleans, Louisiana, United States",within an hour,100,,1,1,Tulane - Gravier,New Orleans,LA,70119,US,United States,29.96101753,-90.08898069,Apartment,Entire home/apt,4,1,1,1,Real Bed,99,,,150,55,2,35,1,1125,29,59,89,364,3,19-02-2017,07-05-2017,87,9,9,10,10,7,9,153740666,strict,1,0.87,"29.9610175268, -90.0889806861","Host Has Profile Pic,Requires License"
8622619,H. Weil. Baking Company,45354094,John,29-09-2015,"New Orleans, Louisiana, United States",,,Uptown,1,1,Uptown,New Orleans,LA,70115,US,United States,29.92357179,-90.1076842,Townhouse,Entire home/apt,6,3,3,3,Real Bed,200,,,150,100,4,0,2,10,0,0,0,0,9,08-11-2015,03-07-2016,98,10,10,10,10,10,10,,strict,1,0.47,"29.9235717851, -90.1076842015","Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License"
4879130,Between Magazine & St. Charles Ave.,2545116,Mike,04-06-2012,"New Orleans, Louisiana, United States",within an hour,100,Touro,1,1,Touro,New Orleans,LA,70115,US,United States,29.92477341,-90.09643599,Apartment,Entire home/apt,4,1,1,2,Real Bed,150,700,2250,,75,1,0,3,1125,9,20,50,287,24,02-05-2016,30-05-2017,98,10,10,10,10,10,10,17STR-09856,flexible,1,1.81,"29.9247734077, -90.096435994","Host Is Superhost,Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License"
